City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,Almenara,BR,71.01,overcast clouds,-16.1836,-40.6944,Pousada Estância
268,Kalmunai,LK,77.45,overcast clouds,7.4167,81.8167,VS Villa
271,Road Town,VG,78.84,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
273,Jandaia Do Sul,BR,81.25,scattered clouds,-23.6031,-51.6433,Hotel Jandaia do Sul
277,Salta,AR,70.09,overcast clouds,-24.7859,-65.4117,Hotel Alejandro I
279,Alta Floresta,BR,71.73,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
280,Muncar,ID,86.16,overcast clouds,-8.4333,114.3333,Zaky Homestay
281,Natal,BR,80.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
282,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
284,Labuhan,ID,86.02,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
287,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
288,Souillac,MU,78.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
291,Lazaro Cardenas,MX,76.05,clear sky,17.9583,-102.2,quinta antigua
294,Acarau,BR,79.99,broken clouds,-2.8856,-40.12,castelo pizzaria
298,Cockburn Town,TC,79.07,few clouds,21.4612,-71.1419,Osprey Beach Hotel
302,Pergamino,AR,74.25,few clouds,-33.89,-60.5736,Hotel Fachinat
310,Sao Felix Do Xingu,BR,73.17,light rain,-6.6447,-51.995,Rio Xingu Camping
312,Antalaha,MG,77.34,broken clouds,-14.9003,50.2788,Hotel Vitasoa
314,Launceston,AU,71.62,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
315,Srandakan,ID,83.37,overcast clouds,-7.9386,110.2506,Puri Brata
317,Caravelas,BR,75.58,heavy intensity rain,-17.7125,-39.2481,Pousada dos Navegantes
320,Vao,NC,76.41,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
322,Martapura,ID,75.29,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
328,Fare,PF,80.06,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
331,Vila Velha,BR,78.75,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
335,Ahuimanu,US,78.51,mist,21.4447,-157.8378,Paradise Bay Resort
341,Hirara,JP,73.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
343,Esmeraldas,BR,76.06,few clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
349,Maua,BR,70.36,light rain,-23.6678,-46.4614,Hotel Capriccio Mauá
357,Dingle,PH,83.34,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
360,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
361,Camapua,BR,72.16,light rain,-19.5314,-54.0439,Comercial Estrela
362,Barsi,IN,70.57,clear sky,18.2333,75.7,B.K.T. COMMUNICATION AND FASHION
363,Rio Tercero,AR,71.8,broken clouds,-32.173,-64.1141,"Hotel Vélez Sarsfield ""Low Cost"""
364,Akom,CM,72.84,overcast clouds,2.6678,12.7109,Complexe Hôtelier Jeannette
365,Broken Hill,AU,89.31,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
368,Victoria,HK,71.26,overcast clouds,22.2855,114.1577,Mini Hotel Central
373,Rock Sound,BS,73.51,overcast clouds,24.9,-76.2,Rock Sound Club
379,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
